configuration px = 2, py = 2, size = 4096, runtime 1D = 0.129069, runtime 2D = 0.173135
configuration px = 2, py = 2, size = 4096, runtime 1D = 0.129740, runtime 2D = 0.160600
configuration px = 2, py = 2, size = 4096, runtime 1D = 0.129048, runtime 2D = 0.157928
configuration px = 2, py = 2, size = 4096, runtime 1D = 0.128998, runtime 2D = 0.165666
configuration px = 2, py = 2, size = 4096, runtime 1D = 0.129006, runtime 2D = 0.160377
configuration px = 2, py = 4, size = 4096, runtime 1D = 0.129107, runtime 2D = 0.165751
configuration px = 2, py = 4, size = 4096, runtime 1D = 0.128984, runtime 2D = 0.159018
configuration px = 2, py = 4, size = 4096, runtime 1D = 0.129015, runtime 2D = 0.159216
configuration px = 2, py = 4, size = 4096, runtime 1D = 0.139565, runtime 2D = 0.169190
configuration px = 2, py = 4, size = 4096, runtime 1D = 0.129188, runtime 2D = 0.158215
configuration px = 2, py = 2, size = 32768, runtime 1D = 14.533213, runtime 2D = 16.401319
configuration px = 2, py = 2, size = 32768, runtime 1D = 14.991373, runtime 2D = 15.713689
configuration px = 2, py = 2, size = 32768, runtime 1D = 14.061208, runtime 2D = 16.075809
configuration px = 2, py = 2, size = 32768, runtime 1D = 14.223362, runtime 2D = 16.408631
configuration px = 2, py = 2, size = 32768, runtime 1D = 14.762262, runtime 2D = 16.561868
configuration px = 2, py = 4, size = 32768, runtime 1D = 8.019462, runtime 2D = 6.953642
configuration px = 2, py = 4, size = 32768, runtime 1D = 8.536447, runtime 2D = 6.967559
configuration px = 2, py = 4, size = 32768, runtime 1D = 8.387153, runtime 2D = 7.397684
configuration px = 2, py = 4, size = 32768, runtime 1D = 8.287314, runtime 2D = 6.987819
configuration px = 2, py = 4, size = 32768, runtime 1D = 8.765471, runtime 2D = 7.157647
